Наименование продукта
"Мягкие вафли «Яшкино» с соленой карамелью, 120 г"
"Бананы поштучно, 0,1 - 0,3кг"
"Молоко 2.5%, 900 г"
"Сметана 15%, 350 г"
"Сахар фасованный, 1 кг"
Томаты
Яйцо куриное С0
Лук репчатый желтый
"Творог 5%, 450 г"
Яйцо куриное С1
"Огурец гладкий среднеплодный поштучно, 0,1 - 0,45кг"
"Творог 5%, 180 г"
"Продукт соевый тофу «Сельский дом» Классический, 250 г"
"Прошутто «Cortador» сыровяленное, 80 г"
"Говядина «Cortador» Manzo, сыровяленая, 80 г"
"Оливки «OLIBEN» без косточки, 270 г"
"Кокосовая вода «FOCO» Organic, 330 мл"
"Грудка индейки «Cortador» Carpaccio Tacchino, сырокопченая, в нарезке, 80 г"
"Свинина Collo di Maiale, сыровяленая, 80 г"
"Паста шоколадная «Nutella», 350 г"
"Персики в сиропе «Домашние сладости», 580 г"
"Абрикосы в сиропе «Домашние сладости», 580 мл"
"Маршмеллоу «Zerfer» Trio, 90 г"
"Манго сушеное «GOOD FRUIT», 100 г"
"Жевательный мармелад «Frunel» пектиновый с соком апельсина, малины и ананаса, 250 г"
Яйцо куриное С2 (10шт)
"Маршмеллоу «Zerfer» Duo, 90 г"
"Желудки куриные охлажденные, 0,5 - 1,2кг"
"Шницель «Троекурово» куриный рубленый, 525 г"
"Котлеты куриные «Троекурово» Филейные, 500 г"
"Котлеты «Троекурово» Фри с сыром, 500 г"
"Топпинг «Махеевъ» Молочный с какао, 300 г"
"Цыпленок табака «Рококо», 0,8 - 1,7кг"
"Ноги куриные замороженные, 1 кг"
"Шеи куриные, 1 кг"
"Набор для тушения из мяса курицы, охлажденный, 0,6 - 1,2кг"
"Куриное филе охлажденное, 0,6 - 1,3кг"
"Грудка куриная охлажденная, 0,8 - 1,9кг"
"Печень куриная охлажденная, 0,5 - 1,1кг"
"Крыло куриное охлажденное, 0,8 - 1,2кг"
"Бедро куриное охлажденное, 0,8 - 1,5кг"
"Фарш куриный ручной обвалки охлажденный, 0,8 - 1,2кг"
"Тушка цыпленка-бройлера охлажденная, 1,4 - 2,7кг"
"Голень куриная охлажденная, 0,6 - 1,2кг"
